objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation,
sl-001,sl-001.png,,One of the Most Versatile Entertainers,image/png,"A print newspaper advertisement for an Edison phonograph, also reffered to as a 'talking machine'. It highlights the device's features, both functional and aesthetic. It also features a small illustration of the device in the top corner.",Eilers Music House,,1911-23-11,,single-page; newspaper advertisement,music; advertisement; technology; arts; phonograph; newspaper; print; illustration,"Bellingham, WA",48.769768,-122.485886,The Bellingham Herald,NewsBank America's Historical Newspapers,NewsBank America's Historical Newspapers,https://infoweb-newsbank-com.eu1.proxy.openathens.net/apps/readex/doc?p=EANX&sort=YMD_date%3AA&f=advanced&val-base-0=amusement%20NEAR%205%20source&fld-base-0=ocrtext&fld-nav-0=YMD_date&val-nav-0=1800%20-%201915&docref=image/v2%3A114CEFC7EE7A1DF8%40EANX-116A1405F0F1D8A0%402419364-116A1406D91C5070%409-116A1408F6479970%40Advertisement&firsthit=yes,Advertisement,sl-001,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://infoweb-newsbank-com.eu1.proxy.openathens.net/apps/readex/doc?p=EANX&sort=YMD_date%3AA&f=advanced&val-base-0=amusement%20NEAR%205%20source&fld-base-0=ocrtext&fld-nav-0=YMD_date&val-nav-0=1800%20-%201915&docref=image/v2%3A114CEFC7EE7A1DF8%40EANX-116A1405F0F1D8A0%402419364-116A1406D91C5070%409-116A1408F6479970%40Advertisement&firsthit=yes,
sl-003,sl-003.jpg,,Giant See Saw - Tennessee Centennial,image/jpg,"A stereographic photo that depicts a view from the Tennessee Centennial celebration, held in Nashville in 1897. More specifically,   it features an oversized see-saw that dwarfs the surrounding fairground.",Keystone View Company,,1897,yes,single-page; stereographic photo,photograpy; arts; technology; amusement rides; fair; Tennessee Centennial; print; exhibition; stereograph,"Nashville, TN",36.174465,-86.76796,Keystone View Company,Library of Congress,Library of Congress,https://lccn.loc.gov/90706154,"Giant see-saw, Tennessee Centennial, Nashville, Tenn., 1897",sl-003,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://lccn.loc.gov/90706154,
sl-007,sl-007.jpg,,The Barnum & Bailey Greatest Show on Earth,image/jpg,"A lithographic print poster advertising the Barnum and Bailey circus. This poster specifically features ""the World-Famous Silbons"", a four-person acrobatic troupe that perfomed as a part of Barnum and Bailey shows in the 19th century. ","Strobridge Lith. Co., Cinti - New York",,1896,yes,single-page; flyer ,advertisement; performance; arts; illustration; circus; color; print; lithography; fame,,,,"Strobridge Lith. Co., Cinti & New York",Library of Congress,Library of Congress,https://lccn.loc.gov/2002695273,"The Barnum & Bailey greatest show on earth The world's largest, grandest, best amusement institution / / The Strobridge Lith. Co., Cinti & New York.",sl-007,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://lccn.loc.gov/2002695273,
sl-011,sl-011.jpg,,The Mansion of Happiness,image/jpg,"A board game that was produced with the primary objective of providing moral teachings to children. The spiral path goes through various spaces, including ""temperance"" and ""gratitude"", before arriving at the center space: ""the Mansion of Happiness"".",W. & S.B. Ives,,1843,yes,object; board game,game; children; morality; education; illustration; lithography; ideology; print,"Salem, MA",42.519539,-70.896713,"B.W. Thayer & Co.,",Library of Congress,Library of Congress,https://lccn.loc.gov/98503021,"The mansion of happiness, an instructive, moral & entertaining amusement / Thayer & Co's. Lithogy., Boston.",sl-011,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://lccn.loc.gov/98503021,
sl-012,sl-012.jpg,,There's No Better Fun Than Picture Taking,image/jpg,"A print magazine advertisement for the Brownie Family of cameras, a product line produced by Kodak with the goal of appealing to children. It claims that ""Any Boy of Girl Can Make Good Pictures with a Brownie"".",Kodak,,1909,yes,single-page; magazine advertisement,advertisement; photography; arts; print; camera; technology; children; magazine,"Rochester, NY",43.16103,-77.610924,Youth's Companion,Duke University Emergence of Advertising,Duke University Emergence of Advertising,https://idn.duke.edu/ark:/87924/r43f4nc94,There's no better fun than Picture Taking,sl-012,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://idn.duke.edu/ark:/87924/r43f4nc94,
sl-013,sl-013.jpg,,U.S.S. Maine Sailors' Amusements,image/jpg,A photograph depicting sailors aboard the U.S.S. Maine taking a break from their regular duties and playing with a deck of cards.,Edward H. Hart,,1895/1898,yes,single-page; photograph,photography; arts; game; patriotism; print; military,"Detriot, MI",42.331429,-83.045753,Detroit Publishing Co.,Library of Congress,Library of Congress,https://lccn.loc.gov/2016795121,U.S.S. Maine sailors' amusements,sl-013,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://lccn.loc.gov/2016795121,
sl-014,sl-014.jpg,,What a Man Looks for in a Girl,image/jpg,"A print magazine advertisement for Pond's Extract Co. vanishing cream. It is also an early example of celebrity endorsement in advertising, with a list of ""Some Famous Users"" being featured along with photos of performers who claim to use the product.",Pond's Extract Co.,,1916,yes,single-page; magazine advertisement,advertisement; photography; arts; print; illustration; ideology; fame; beauty; magazine; gender,,,,Pictoral Review,Duke University Emergence of Advertising,Duke University Emergence of Advertising,https://idn.duke.edu/ark:/87924/r43j3bt9w,What a Man Looks for in a Girl,sl-014,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://idn.duke.edu/ark:/87924/r43j3bt9w, 
sl-015,sl-015.pdf,,"580. National League, ""Cubs"" Ball Park, Chicago Postcard",image/pdf,A printed postcard with a photo of a Cubs baseball game. ,The Acmegraph Company,,1908/1918,yes,single-page; card,photography; arts; game; sports; Chicago; print; postcard,"Chicago, IL",41.881832,-87.623177,,Newberry,Newberry,https://i-share-nby.primo.exlibrisgroup.com/permalink/01CARLI_NBY/n9t4uq/alma9911519278705867,"Special Collections, John M. Wing Collection, Modern-MS-Calavano, Box 7",sl-015,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://i-share-nby.primo.exlibrisgroup.com/permalink/01CARLI_NBY/n9t4uq/alma9911519278705867,
sl-016,sl-016.pdf,,Autograph book,image/pdf,"An autograph book and journal kept by Marguerite Henshaw. It includes signatures from some notable historical figures, including famous authors, musicians, and politicians.",Marguerite Henshaw,,1892/1904,yes,multiple-page; album,journal; fame; autograph; collection,,,,,Newberry,Newberry,https://i-share-nby.primo.exlibrisgroup.com/permalink/01CARLI_NBY/i5mcb2/alma9911418638805867,"Special Collections, Midwest Manuscript Collection, 4th floor, Midwest MS 179",sl-016,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://i-share-nby.primo.exlibrisgroup.com/permalink/01CARLI_NBY/n9t4uq/alma9911519278705867,
sl-017,sl-017.pdf,,The Phonograph,image/pdf,"A printed advertising card that features an elderly couple and their amazement at the phonograph, an early musical device. The image on the postcard is a reproduction of a painting by European artisf, Ma Sani",Thomas A. Edison,,1905,yes,multiple-page; card,advertisement; technology; music; phonograph; advertising card; illustration; print; arts,"Algoma, WI",44.6089,87.4326,,Newberry,Newberry,https://i-share-nby.primo.exlibrisgroup.com/permalink/01CARLI_NBY/i5mcb2/alma991980568805867,"Special Collections, John M. Wing Collection, 4th floor, Case Wing folio ZC 3 .146",sl-017,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://i-share-nby.primo.exlibrisgroup.com/permalink/01CARLI_NBY/i5mcb2/alma991980568805867,
sl-018,sl-018.pdf,,This Card Is Perfumed With Hoyt's German Cologne,image/pdf,A printed advertising card that was allegedly scented with cologne.,E.W. Hoyt & Co. Proprietors,,1888,yes,single-page; card,advertisement; print; illustration; arts; advertising card; beauty,"Lowell, MA",42.640999,-71.316711,,Newberry,Newberry,https://i-share-nby.primo.exlibrisgroup.com/permalink/01CARLI_NBY/i5mcb2/alma991980568805867,"Special Collections, John M. Wing Collection, 4th floor, Case Wing ZC 3 .166",sl-018,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://i-share-nby.primo.exlibrisgroup.com/permalink/01CARLI_NBY/i5mcb2/alma991980568805867,
sl-019,sl-019.pdf,,"World's Fair album of Chicago, 1893",image/pdf,"An ornate, red book which folds out to reveal several panoramic views of various buildings at the Chicago 1893 Columbian Exposition World's Fair.",,,1893,yes,multiple-page; album,fair; World's Fair; Columbian Exposition; print; arts; illustration; photography; technology,"Chicago, IL",41.881832,-87.623177,,Newberry,Newberry,https://i-share-nby.primo.exlibrisgroup.com/permalink/01CARLI_NBY/i5mcb2/alma9911480468805867,"General Collection, 2nd floor, T500.C1 W9462 1893",sl-019,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://i-share-nby.primo.exlibrisgroup.com/permalink/01CARLI_NBY/i5mcb2/alma9911480468805867,
sl-020,sl-020.pdf,,World's Columbian Exposition glass plate images,image/pdf,A collection of nine glass plate images (including 1 negative) that depict various exhibits at the 1983 Columbian Exposition World's Fair in Chicago.,,,1893,yes,multiple-page; photo,fair; World's Fair; Columbian Exposition; print; arts; photography; technology,"Chicago, IL",41.881832,-87.623177,,Newberry,Newberry,https://i-share-nby.primo.exlibrisgroup.com/permalink/01CARLI_NBY/i5mcb2/alma9911527980005867,"Special Collections, 4th floor, Midwest MS WCEGlassImages",sl-020,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://i-share-nby.primo.exlibrisgroup.com/permalink/01CARLI_NBY/i5mcb2/alma9911527980005867,
sl-021,sl-021.pdf,,The Welcome to the Edison Phonograph,image/pdf,"A small pamphlet from the World's Columbian Exposition, held in Chicago in 1893, that advertises the Edison Phonograph. The phonograph was a audio device that experienced rapid growth in popularity during this time period.",North American Phonograh Co.,,1893,yes,multiple-page; pamphlet,music; advertisement; technology; arts; phonograph; newspaper; print; photography; fair; World's Fair; Columbian Exposition;,"Chicago, IL",41.881832,-87.623177,,Newberry,Newberry,https://i-share-nby.primo.exlibrisgroup.com/permalink/01CARLI_NBY/i5mcb2/alma994384488805867,"Special Collections, John M. Wing Collection, 4th floor Case Wing ZC 3 .166",sl-021,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://i-share-nby.primo.exlibrisgroup.com/permalink/01CARLI_NBY/i5mcb2/alma994384488805867,
sl-022,sl-022.jpg,,My papa is going to buy me a pair of...,image/jpg,An advertising card for Standard Screw Fastened Shoes.,Standard Screw Fastened Shoes,,1850/1920,yes,single-page; card,advertisement; advertising card; clothing; children; print; arts; illustration,,,,,Duke University Emergence of Advertising,Duke University Emergence of Advertising,https://idn.duke.edu/ark:/87924/r4t72981g,My papa is going to buy me a pair of...,sl-022,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://idn.duke.edu/ark:/87924/r4t72981g,
sl-023,sl-023.jpg,,A Most Desirable Entertainer,image/jpg,"A print advetisement for the Graphophone, which was a similar device to the phonograph that also played recorded audio. It is described here ""A Most Desirable Entertainer"".",Manly B. Rames Co.,,1850/1920,yes,single-page; card,advertisement; print; illustration; arts; technology; device; audio; music; graphophone,"RIchmond, VA",37.541290,-77.434769.,,Duke University Emergence of Advertising,Duke University Emergence of Advertising,https://idn.duke.edu/ark:/87924/r41c1w511,A Most Desirable Entertainer,sl-023,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://idn.duke.edu/ark:/87924/r41c1w511,
sl-024,sl-024.jpg,,Swift's Silver Leaf Lard - Little Cook-ing Lessons,image/jpg,"A print advetisment for Swift's Silver Leaf Lard that features a young girl wearing a chef's hat that reads ""Swift's Little Cook"".",Swift & Company. U.S.A.,,1906,yes,single-page; advertisement,advertisement; print; arts; illustration; children; ideology; gender,,,,J. Walter Thompson Co.,Duke University Emergence of Advertising,Duke University Emergence of Advertising,https://idn.duke.edu/ark:/87924/r49021527,The Thompson Blue Book On Advertising (1906),sl-024,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://idn.duke.edu/ark:/87924/r49021527,
sl-025,sl-025.pdf,,Catalogue of Stella Music Boxes,image/jpg,"A catalogue featuring various models of Stella music boxes, ranging in cost from $35.00 to $200.00. ",Jacot Music Box Co.,,1850/1920,yes,multiple-page; catalogue,advertisment; print; illustration; arts; photography; music; audio; technology; device,,,,,Duke University Emergence of Advertising,Duke University Emergence of Advertising,https://idn.duke.edu/ark:/87924/r4251h82j,Catalogue of Stella Music Boxes,sl-025,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://idn.duke.edu/ark:/87924/r4251h82j,
sl-026,sl-026.jpg,,Souvenir of World's Fair Chicago 1893 (handkerchief),image/jpg,"A souvenir handkerchief from the Columbian Exposition World's Fair, held in Chicago in 1893. It features an ariel view of the fairgrounds and the lake, printed on an American flag background.",,,1893,yes,single-page; textile,fair; World's Fair; Columbian Exposition; exposition; souvenir; handkerchief; textile; arts; print;,"Chicago, IL",41.881832,-87.623177,,Newberry,Newberry,https://i-share-nby.primo.exlibrisgroup.com/permalink/01CARLI_NBY/i5mcb2/alma998696188805867,"Special Collections, 4th floor, map7C G4104.C6:2W6 1893 .S6",sl-026,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://i-share-nby.primo.exlibrisgroup.com/permalink/01CARLI_NBY/i5mcb2/alma998696188805867,
sl-027,sl-027.pdf,,Souvenir of World's Fair Chicago 1893 (commemorative coin),image/pdf,"A commemorative coin from the Columbian Exposition World's Fair, held in Chicago in 1893. It features a ship and a double-hemisphere world map on one side and a profile potrait of Christopher Columbus on the other.",,,1893,yes,multiple-page; coin,fair; World's Fair; Columbian Exposition; exposition; souvenir; coin,"Chicago, IL",41.881832,-87.623177,,Newberry,Newberry,https://i-share-nby.primo.exlibrisgroup.com/permalink/01CARLI_NBY/i5mcb2/alma998696188805867,"Special Collections, 4th floor, map7C G4104.C6:2W6 1893 .S6",sl-027,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://i-share-nby.primo.exlibrisgroup.com/permalink/01CARLI_NBY/i5mcb2/alma998696188805867,
sl-028,sl-028.pdf,,Visitor's Map of the 1934 World's Fair,image/pdf,"A visitor's map of the Century of Progress World's Fair, held in Chicago in 1893. It was produced by Uhlemann Optical Co. ",Uhlemann Optical Co.,,1933/1934,yes,multiple-page; map,fair; World's Fair; Century of Progress; exposition; tourism; map; souvenir; advertisement; ,"Chicago, IL",41.881832,-87.623177,,Newberry,Newberry,https://i-share-nby.primo.exlibrisgroup.com/permalink/01CARLI_NBY/i5mcb2/alma9910093838805867,"Special Collections, Midwest Manuscript Collection, 4th floor, Midwest MS Century of Progress, Box 3, Maps folder",sl-028,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://i-share-nby.primo.exlibrisgroup.com/permalink/01CARLI_NBY/i5mcb2/alma9910093838805867,
